o	Birth Mom with Borderline Personality Disorder that happens to be a foodie who is totally obsessed with Harry Potter 3	3192520824
o	I have bpd and I am just trying to learn how to deal .. I've started doing poetry to recover from my abuse and to deal with the bpd :).	598213371
o	Hey, I'm Lucy, nearly 23 and I blog on my journey to recovery with complex PTSD/BPD. Look forward to chatting to people :) xx	978322178
o	I live with #BPD and use #RollerDerby to get rid of my frustrations.	2767717274
o	28 - A #positive insight into living with #myalgicencephalomyelitis (M.E.) diag. 04 #mecfs alongside #BPD with emphasis on tiny triumphs & silver linings =) x	2351302048
o	Author/Poet, fanfic writer, rec. alcoholic, #BPD, #SAD, half Jewish, half Viking, humorous, my genetic makeup consists of equal parts intelligence and insanity.	1523189252
o	BPD, ADD, Schizo-Affective and PTSD--What more could you want?	1335363289
o	54 w BPD & BETTER THAN EVER	496109521
x	Open conversations and experiences about Borderline Personality Disorder #respect	2770995208
o	Devout Atheist , hi - fi nut, music lover. A disassociate with BPD & M. E., feel like shite on a daily basis. x	608962592
o	Surviving life with Borderline Personality Disorder and an Eating Disorder.	481560757
x	Vocalist for A Clockwork Opera, BPD blogger for Inside the Borderline, musicology student, and Devin Townsend fangirl.	1093273896
o	Animal loving BPD sufferer with a soft spot for Christian Grey. Also obsessed with fashion&beauty, travel, Lana Del Rey snd Disney Princesses.	2739407243
o	I like GoT, LotR, I'm a tribute, demigod, oncer, potterhead, Stirlingite, iniciate etc. I'm studying translation, learnig Japanese and I have BPD	2869955056
o	Im crazy as hell and mostly hyper. I have BPD and am a witch :) wanna know more then ask me :) have the most amazing boyfriend in the world :) love you 3	1373244259
o	#bipolar #bpd #ocd #anxiety #addiction #Pitbulls  your best bet for a fucking good time	3009940623
o	Dream Believe Achieve!! A mummy with Bipolar and BPD traits. I can do this!!	409341288
o	Just A Small Diary Detailing My Thoughts & Feelings, As I Go Through The Process Of Suicide By Starvation. Male In 40's With BPD, PTSD	3301445015
o	diagnosis of bpd, bipolar i, dependent pd, addisons, bulimia - all i really use twitter for. pantera, sweets, cider, tom & my sister are my faves. merry xmas :)	394137070
o	I live with a BPD mother. These are my tweets.	938085877
o	Beauty enthusiast. Trying to employ the strategy of look good feel good. Fighting BPD with lipstick and brows. browsinbeauty@gmail.com	2983071345
o	Fighting Gastroparesis and Beating Borderline Personality Disorder Everyday. Don't judge my path when you don't know my journey!!! One Love!! ❤	768872180
o	Twisted and tainted #BPD	545525516
o	#bpd,#dbt,#portland,#greythinking,#support	325980108
o	3 (1/2) years diagnosed with #BPD just trying to make it through the daily struggles of being a borderline #kindnessonly #positivevibes	999428179
x	Family Law Attorney Specializing in Borderline Personality Disorder Divorces and Child Custody	715133671
o	Im an english  Borderline personality babe who has named her personalities, lives in a tiny crazy villiage where i may get burned as a witch ,watch this space .	19535041
o	22 | Metalhead | Gamer | Artist | Theologian | Roman Catholic | Beauty Addict | Bunny Lover | Daily BPD & Depression Survivor | Pro-Kink, Anti-50 Shades	1096422758
o	Artist, Mom, Defender of Dark Arts, Gay advocate, Anti Abortion rights... live for living.Surviving with BPD and BPII	582358517
x	Advocate: NEA.BPD & NAMI. Hotline Advocate Domestic Violence/Sexual Assault/child abuse. #StopVictimBlaming #EndCrueltyToAnimals#LaughUntilYouPish	3183482557
x	GRANDMA/BIPOLAR1/GAD/AGORAPHOBIA/BPD/ TWIMAWARDS BEST NEW BLOG 2013/SOBER ALCOHOLIC FOR   5 YEARS & 8 MONTHS/ JAZZMAN WIFE	1158682488
o	emiline. 22. coffee addict. shy. bi, single. (#BPD, #PTSD, #anorexia, #EDS, #fibromyalgia.) loves #kstew, #buffy, #lostgirl, #orphanblack, #ouat, #doctorwho.	311695224
o	just the average diagnosed psycho #bipolar #borderline sufferer in #treatment and #recovery! stigma fighter to uneducated shallow minds	3153205179
o	Smart, Sassy, Sarcastic, and Sacred. Taking it one day at a time, trying to make it thru. #BPD #DBT #Witchcraft	2246055872
o	BPD survivor, easily amused and music owns my soul. I believe in ghost, ufo's, big foot, lochness, Muhammad and Jesus (not the guy who cuts my yard)	329521113
o	Twitter account dedicated to Mindfulness ~ :-) im just a Bpd sufferer learning DBT& would like to help others too :-) feel free to tweet me :-)	2502039520
o	I'm the Nobody who wants to be the Somebody.  My biggest, life-long challenge has been my on-going battle with Borderline Personality Disorder.	3021478436
