X	Writer and musician! Electrician. B.A. in psychology, Focusing on the study of bipolar disorder, mental health, psychology, and philosophy.	current_mike	1862178212
O	bipolar disorder sufferer and all round bad person, take no heed in what I tweet!	manc_swag	3097925127
O	American-Filipina, Artist, Bipolar Disorder, Mental Health advocate, Anime, Nerd/Geek, Walking, Animals	carmelarheea978	22451769
O	BiPolar Thoughts/Blog... What goes on in the mind of a person with BiPolar.    Looking for some support? solace?  Here is the twitter	BiPolarBri	2233374368
O	A BIPOLAR BITCH WHOSE SWEET & LOVABLE. Anyone wants to know about Bipolar ask me.	karenwhite1973	1601738474
O	25, Auntie to my amazing nieces and nephews!!!! Christian, Bipolar, ABSL, ASL, Scouting keeps me going.	maz080789	39229163
X	I'am married to a Bipolar wife and i feel like I'am drowning. But she's the love of my life. What to do?	Bipolar_husband	929601266
Ｘ	Official Twitter page of the dynamic author,  Bipolar Disorder Conqueror, counselor. Skype Sessions now available! Visit on facebook: https://t.co/v2OjEmxyua	DrHansDreyer1	2358286172
Ｏ	People sharing their stories of living w/ #mentalillness through personal essay, song & poetry. Creator/Prod @BipolarMomLife, Co-founder/Director @AnneMarieAmes	ThisIsMyBrave	1716295634
Ｏ	Mostly, I'm a housewife. I like 2 Knit, watch American Football.I like 2 RP-tabletop mostly. I'm also Bipolar & HysterSister.	Fairylite	17995783
Ｏ	Proud mother of 4. House wife. Vaccine free. Bipolar and trying to live a decent life and Love Me Some Dirt Track Racing.	AmandaKThomas31	3152058402
Ｏ	Progressive Political Blogger ; Bipolar Poet-Painter-Priestess; Witch with a captal W, SVM fanfic writer, Jane Austen fan, mad love for Sam Heughan & Outlander.	MorgaineSwann	14194803
Ｏ	Keen cyclist. Leicester Tigers supporter. Bipolar sufferer. @TimetoChange Champion and media volunteer. Very proud dad	TimMcKenna5	613456003
Ｘ	A South African community where ordinary people share their journey living with #mentalillness. #bipolar. Founded by @yvette_hess	life_ole	3288635548
X	health/lifestyle blogger↟social media mgr@intlbipolar↟nanny↟yogi ☮↟brand amb.↟dog mom↟insta: thebalancedbrunette #sweatpink#fitfluential	balancebrunette	25729249
O	I am a bipolar. 45 years if age, diagnosed only 10ish year ago. I'm still struggling with it and have yet to hit level ground. I will not let it be my identity!	BipolarsReality	2337315301
X	I had a relapse of my bipolar in 2013 & take photos daily to keep me focused on the present #mindfulness. I am a member of The Well Artists & see also @potd2014	potd2015	2948241951
O	I am a survivor. I suffer from #migraines, #bipolar & #depression. My blog focuses on recovery from #mentalillness. Let's thrive, not just survive!	stabilityseeker	3346569940
O	Music. Books. Art. Webcomics. Thriftstores. Vintage everything. Architectural salvage. Victorian era. Photography. Bipolar disorder. MMA. Youth services (teen).	Manic_Panic	15113036
O	A writer. A blogger. A mom. A lover of life and survivor of bipolar.	xandiya	22584177
X	Sally blogs for The International Bipolar Foundation and bphope.	sally_hagen	3177225590
?	Critic, pill swallower, supporter, bipolar.	VoxBipolar	2753207814
X	Bipolar Circle website provides free chat, forums, news, and opportunities to people with bipolar depression.	BipolarCircle	124821142
O	19, learning to live with bipolar II disorder through awareness, support, patience, and humour... as they say, laughter is the best medicine.	bipolarprinc3ss	1534369584
O	Im The Node of  Geeker |Anarchist |Producer .beat .dubstep |Bipolar disorder |Psychologist |Philosopher | Hustler |Gganster |Hacker |Spreader |	Sawyerliu	15901012
X	Book loving bipolar bear and amdram enthusiast.	bipolarbearbecs	22978958
X	Monsenso offers an #mHealth platform for #mentalillnesses such as #depression, #bipolardisorder, #schizophrenia and #borderline	Monsenso	2829623791
O	Capricorn, Mom, Sister, Aunt, Bipolar, Adventerur. People either love or hate me, but they won't forget me! Find me on Snap Chat: tslater1126	TraceyS112602	430219907
X	Research into the genetics of bipolar disorder, schizophrenia and alcohol dependence. Working towards improving understanding and treatments of mental health.	BipolarUCL	294036143
O	A 50's something Life and Times with Bipolar Disorder I    Learning to laugh through the tears and be sane through the crazy	ManiaRocks1	597729978
O	Proud to be ImmiGREAT, from Jaipur, Rajasthan, India; has studied English at Hokusei Gakuen University in Hokkaido, Japan. Battles with Bipolar Disorder Type 3.	Queen_Asante	2812322546
O	Been bipolar for 30 years, just now accepting it.  I miss my manias, and can do without the dungeons of depression...   How do I live a mediocre life now?	LaLaLimbo	26649628
X	making a film called bipolar survivors if you want to take part message me	joemoonblue	234923037
O	Editor gone rogue. Occasional creative writing mentor. Bookish, bipolar, bon viveur, vegan, pianist, swimmer . . . Gives a fuck about an Oxford comma.	rabbitsoup_zola	1515890040
O	Stable #bipolar ll mama to 3, married for 21 years. I share found tips on #bipolar,  #psychiatric meds, #depression & #mental health in general.	MamaBipolarK	999859616
O	I'm a mom/paramedic/blogger sharing my personal experience with having bipolar. My goal is to debunk the stereotypes about people who have mental illnesses.	MommaDTJ	2424087974
?	Soy Bipolar, llevando la Vida entre la Paz y la Guerra, Escritora, Vegana, casi Budista, medio feliz y medio triste, pero sobre todo Libre	sol_bipolar	3138037228
?	Elite 8 Lifestyle is a way of life which holds no stigma. Pharmacist, Canadian Forces Member, Bipolar.	E8Lifestyle	2696455680
x	doctoral student. educator. advocate. writer. bipolarity hilarity since 2000. see brightness. hold hope.	RKallemWhitman	2786108986
X	Bipolar Millionaire Jerk fighting for Change, Progress, Civil Rights, Equality and Justice.	PatdoesJack	2169284418
O	Autism & Aspie mummy. Author of Autistic blessings and bipolar me, available on Amazon. As Dori says. Just keep swimming!	PlowsEmma	3001198516
O	Bipolar woman seeking other bipolars	WHITNEYLBIPOLAR	16558071
O	I am a loved one to family and friends who struggle with mental illnesses, including bipolar disorder, OCD, depression, and social anxiety. Here is my story.	NoXRayNeeded	264022059
x	Unemployed, overeducated, bipolar millennial working towards a PsyD in clinical psychology. Yep, go 'head and digest that irony.	LetsGoDrDo	2990712907
X	Validated multidimensional mental health screening/mgmt solution for Primary Care: Anxiety, Depression, Bipolar Disorder, PTSD, Substance.	M3Clinician	171485605
O	Nerdy, Bipolar, Catholic, Vegan chick seeks thought-provoking tweets.	ShellsLibby	262711847
O	A lawyer in his 20's trying to change the world.  Biggest obstacle?  My bipolar disorder.	fromNorth2South	260614739
O	Newly diagnosed bipolar mum of two, just restarting my life and a journey to find myself again, music and arts are definitely my vice	Quirkygirl77	2355931732
